48,유럽,그리스,아테네,Athens
20,서아프리카,나이지리아,라고스,Lagos
49,남아프리카,남아프리카공화국,요하네스버그,Johannesburg
50,남아프리카,남아프리카공화국,케이프타운,Cape town
51,유럽,네덜란드,로테르담,Rotterdam
52,유럽,네덜란드,암스테르담,Amsterdam
53,유럽,네덜란드,헤이그,Den Haag(The Hague)
54,남아시아,네팔,카트만두,Kathmandu
55,유럽,노르웨이,오슬로,Oslo
56,오세아니아,뉴질랜드,오클랜드,Auckland
57,동아시아,대만,타이베이,Taipei(台北)
58,유럽,덴마크,코펜하겐,Copenhagen
17,북아메리카,도미니카공화국,산토도밍고,Santo Domingo
33,유럽,독일,드렌스덴,Dresden
59,유럽,독일,겔젠키르헨,Gelsenkirchen
60,유럽,독일,뒤셀도르프,Dusseldorf
61,유럽,독일,라이프치히,Leipzig
62,유럽,독일,뮌헨,Munchen(Munich)
63,유럽,독일,베를린,Berlin
64,유럽,독일,본,Bonn
65,유럽,독일,칼스루에,Karlsruhe
66,유럽,독일,프라이부르크,Freibrug
67,유럽,독일,프랑크푸르트(암마인),Frankfurt am Main
68,유럽,독일,함부르크,Hamburg
69,유럽,러시아,모스크바,"Moscow(Москва, Moskva)"
70,유럽,러시아,블라디보스토크,Vladivostok(Владивосток)
2,중동아시아,레바논,베이루트,Beirut
7,유럽,루마니아,부쿠레슈티,Bucuresti
71,유럽,룩셈부르크,룩셈부르크,Luxembourg
72,동남아시아,말레이시아,콸라룸푸르,Kuala Lumpur
177,동남아시아,말레이시아,푸트라자야,Putrajaya
73,남아메리카,멕시코,멕시코시티,Mexico location(Ciudad de Mexico)
9,북아프리카,모로코,카사블랑카,Casablanca
32,동아시아,몽골,울란바토르,Ulaanbaatar
24,북아메리카,미국,오스틴,Austin
39,북아메리카,미국,클리블랜드,Cleveland
46,북아메리카,미국,클리블랜드,Cleveland
74,북아메리카,미국,달라스,Dallas
75,북아메리카,미국,디트로이트,Detroit
76,북아메리카,미국,라스베가스,Las Vegas
77,북아메리카,미국,로스앤젤레스,Los Angeles
78,북아메리카,미국,마이애미,Miami
79,북아메리카,미국,버팔로,Buffalo
80,북아메리카,미국,보스턴,Boston
81,북아메리카,미국,샌안토니오,San Antonio
82,북아메리카,미국,샌프란시스코,San Francisco
83,북아메리카,미국,시애틀,Seattle
84,북아메리카,미국,시카고,Chicago
85,북아메리카,미국,애슐랜드,Ashland
86,북아메리카,미국,애틀란타,Atlanta
87,북아메리카,미국,어바인,Irvine
88,북아메리카,미국,"워싱턴, D.C.","Washington, D.C."
89,북아메리카,미국,콜럼버스,Columbus
90,북아메리카,미국,포틀랜드,Portland
91,북아메리카,미국,피츠버그,Pittsburgh
92,북아메리카,미국,필라델피아,Philadelphia
93,북아메리카,미국,호놀룰루,Honolulu
94,북아메리카,미국,휴스턴,Houston
178,북아메리카,미국,뉴욕,New york
95,남아메리카,베네수엘라,카라카스,Caracas
96,동남아시아,베트남,하노이,Hanoi
97,유럽,벨기에,브뤼헤,Brugge
98,유럽,벨기에,앤트워프,"Antwerp(Antwerpen, Anvers)"
43,남아메리카,볼리비아,라파스,La Paz
41,남아메리카,브라질,브라질리아,brasilia
99,남아메리카,브라질,꾸리찌바,Curitiba
100,남아메리카,브라질,브라질리아,Brasilia
101,남아메리카,브라질,상파울루,Sao Paulo
16,중동아시아,사우디아라비아,젯다,Jeddah
102,유럽,세르비아,베오그라드,Beograd
22,동아프리카,세이셸 공화국,빅토리아,Victoria
36,유럽,스웨덴,고텐부르크,Goteborg
103,유럽,스웨덴,스톡홀름,Stockholm
26,유럽,스위스,베른,Bern
104,유럽,스위스,제네바,Geneva(Geneve)
105,유럽,스위스,취리히,Zurich(Zurich)
23,유럽,스페인,빌바오,Bilbao
29,유럽,스페인,발렌시아,Valencia
106,유럽,스페인,마드리드,Madrid
107,유럽,스페인,바르셀로나,Barcelona
108,유럽,스페인,팔마 데 마요르카,Palma de Mallorca
40,유럽,슬로베니아,류블랴나,Ljubljana
109,동남아시아,싱가포르,싱가포르,Singapore
110,중동아시아,아랍에미레이트,두바이,Dubai
111,남아메리카,아르헨티나,부에노스아이레스,Buenos Aires
44,유럽,아일랜드,더블린,Dublin
5,유럽,에스토니아,탈린,Tallinn
112,남아메리카,에콰도르,끼토,Quito
34,유럽,영국,버밍엄,Birmingham
42,유럽,영국,맨체스터,Manchester
113,유럽,영국,글래스고,Glasgow
114,유럽,영국,뉴캐슬,Newcastle upon Tyne
115,유럽,영국,런던,London
116,유럽,영국,레스터,Leicester
117,유럽,영국,리즈,Leeds
118,유럽,영국,맨체스터,Manchester
119,유럽,영국,밀튼킨즈,Milton Keynes
120,유럽,영국,바스,Bath
121,유럽,영국,버밍엄,Birmingham
122,유럽,영국,브리스톨,Bristol
123,유럽,영국,에든버러,Edinburgh
124,유럽,영국,옥스퍼드,Oxford
125,유럽,영국,케임브리지,Cambridge
126,유럽,영국,헤이온와이,Hay-on-Wye
12,오세아니아,오스트레일리아,퍼스,Perth
38,오세아니아,오스트레일리아,브리즈번,brisbane
45,오세아니아,오스트레일리아,애들레이드,Adelaide
127,오세아니아,오스트레일리아,멜버른,Melbourne
128,오세아니아,오스트레일리아,브리스번,brisbane
129,오세아니아,오스트레일리아,시드니,Sydney
130,오세아니아,오스트레일리아,캔버라,Canberra
131,오세아니아,오스트리아,빈,Wien(Vienna)
132,중동아시아,요르단,암만,Amman
31,남아메리카,우루과이,몬테비데오,Montevideo
133,남아메리카,우루과이,몬테비데오,Montevideo
11,유럽,우크라이나,키예프,Kyiv
134,중동아시아,이란,테헤란,Tehran(Teheran)
135,중동아시아,이스라엘,텔아비브,Tel Aviv
15,북아프리카,이집트,룩소르,Luxor
28,북아프리카,이집트,탄타,tanta
136,북아프리카,이집트,알렉산드리아,Alexandria(al-Iskandariyya)
137,북아프리카,이집트,카이로,Cairo(al-Qahira)
138,유럽,이탈리아,로마,Roma(Rome)
139,유럽,이탈리아,밀라노,Milano
6,남아시아,인도,뭄바이,Mumbai
37,남아시아,인도,뭄바이,Mumbai
140,남아시아,인도,델리,Delhi
141,남아시아,인도,방갈로르,Bangalore(Bengaluru)
142,동남아시아,인도네시아,자카르타,Jakarta
18,동아시아,일본,유후인,Yufuin
143,동아시아,일본,가와사끼,Kawasaki(川崎)
144,동아시아,일본,교토,Kyoto(京都)
145,동아시아,일본,도요타,Toyota(豊田)
146,동아시아,일본,도쿄,Tokyo(東京)
147,동아시아,일본,무사시노,Musashino(武藏野)
148,동아시아,일본,쓰쿠바,Tsukuba(筑波)
149,동아시아,일본,오사카,Osaka(大阪)
150,동아시아,일본,요코하마,Yokohama(橫浜)
151,동아시아,중국,광저우,Guangzhou(廣州)
152,동아시아,중국,라싸,Lhasa(拉薩)
153,동아시아,중국,베이징,Beijing(北京)
154,동아시아,중국,상하이,Shanghai(上海)
155,동아시아,중국,션전,Shenzhen
156,동아시아,중국,청두,Chengdu(成都)
157,동아시아,중국,홍콩,Hong Kong(香港)
179,동아시아,중국,난징,Nanjing(南京)
158,유럽,체코,프라하,Praha(Prague)
159,남아메리카,칠레,산티아고,Santiago
3,중앙아시아,카자흐스탄,아스타나,Astana
8,동남아시아,캄보디아,프놈펜,Phnom Penh
25,북아메리카,캐나다,퀘벡,Quebec
160,북아메리카,캐나다,몬트리올,Montreal
161,북아메리카,캐나다,밴쿠버,Vancouver
162,북아메리카,캐나다,오타와,Otawwa
163,북아메리카,캐나다,토론토,Toronto
164,동아프리카,케냐,나이로비,Nairobi
10,남아메리카,콜롬비아,카르타헤나,Cartagena
35,북아프리카,쿠바,아바나(하바나),La habana
165,북아프리카,쿠바,아바나(하바나),La habana
1,유럽,크로아티아,자그레브,Zagreb
19,동아프리카,탄자니아,다르에스살람,Dar es Salaam
4,동남아시아,태국,방콕,Bangkok
27,중동아시아,터키,괴뢰메,Goreme
166,중동아시아,터키,이스탄불,Istanbul
21,북아프리카,튀니지,튀니스,Tunis
14,남아메리카,파라과이,아순시온,Asuncion
47,남아메리카,페루,리마,Lima
30,유럽,포르투칼,리스본,Lisbon
167,유럽,폴란드,바르샤바,Warsawa
13,유럽,프랑스,리옹,Lyon
168,유럽,프랑스,렌느,Rennes
169,유럽,프랑스,마르세유,Marseille
170,유럽,프랑스,소피아 앙티폴리스,Sophia Antipolis
171,유럽,프랑스,스트라스부르,Strasbourg
172,유럽,프랑스,파리,Paris
173,유럽,핀란드,오울루,Oulu
174,유럽,핀란드,헬싱키,Helsinki
175,동남아시아,필리핀,마닐라,Manila
176,유럽,헝가리,부다페스트,Budapest